global_id,novel_id,episode_id,total_pairs,keep,retime,split,merge,resegment,delete_noise,delete_text,insert,rewrite_minor,rewrite_major,split_rewrite,merge_rewrite,resegment_rewrite,keep_like_ratio,delete_text_ratio,insert_ratio,review_pairs,review_ratio
novela001__episode_0001,novela001,episode_0001,72,13,36,17,1,1,0,2,0,0,1,0,1,0,0.9444,0.0278,0.0,2,0.0278
novela001__episode_0002,novela001,episode_0002,69,14,31,9,0,2,1,0,0,5,3,3,1,0,0.8116,0.0,0.0,0,0.0
novela001__episode_0003,novela001,episode_0003,47,4,26,8,0,0,0,9,0,0,0,0,0,0,0.8085,0.1915,0.0,0,0.0
novela001__episode_0004,novela001,episode_0004,37,2,17,3,1,0,13,0,0,0,0,0,0,1,0.6216,0.0,0.0,6,0.1622
novela001__episode_0005,novela001,episode_0005,47,4,30,9,1,0,0,3,0,0,0,0,0,0,0.9362,0.0638,0.0,6,0.1277
novela001__episode_0006,novela001,episode_0006,61,1,15,8,0,0,0,18,16,0,2,0,0,1,0.3934,0.2951,0.2623,0,0.0
novela001__episode_0007,novela001,episode_0007,67,2,41,10,0,1,0,9,0,0,3,1,0,0,0.806,0.1343,0.0,7,0.1045
novela001__episode_0008,novela001,episode_0008,26,1,20,4,0,0,0,0,0,1,0,0,0,0,0.9615,0.0,0.0,0,0.0
novela001__episode_0009,novela001,episode_0009,58,0,8,8,0,3,0,23,15,0,0,0,1,0,0.3276,0.3966,0.2586,9,0.1552
novela001__episode_0010,novela001,episode_0010,76,1,19,11,0,0,0,21,23,0,1,0,0,0,0.4079,0.2763,0.3026,3,0.0395
novela001__episode_0011,novela001,episode_0011,22,1,9,6,0,1,0,0,0,0,2,2,0,1,0.7727,0.0,0.0,0,0.0
novela001__episode_0012,novela001,episode_0012,12,4,3,4,0,0,0,0,0,1,0,0,0,0,0.9167,0.0,0.0,0,0.0
novela001__episode_0013,novela001,episode_0013,29,6,16,2,0,0,0,3,1,0,1,0,0,0,0.8276,0.1034,0.0345,0,0.0
novela001__episode_0014,novela001,episode_0014,34,0,0,0,0,0,0,17,17,0,0,0,0,0,0.0,0.5,0.5,0,0.0
novela001__episode_0015,novela001,episode_0015,22,1,18,3,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0,0.0
novela001__episode_0016,novela001,episode_0016,21,1,9,7,0,0,0,2,0,2,0,0,0,0,0.8095,0.0952,0.0,0,0.0
novela001__episode_0017,novela001,episode_0017,27,7,13,1,0,1,0,2,0,2,0,0,0,1,0.8148,0.0741,0.0,0,0.0
novela001__episode_0018,novela001,episode_0018,18,1,13,0,0,0,0,0,0,1,2,1,0,0,0.7778,0.0,0.0,0,0.0
novela001__episode_0019,novela001,episode_0019,16,0,12,3,0,0,0,1,0,0,0,0,0,0,0.9375,0.0625,0.0,0,0.0
novela001__episode_0020,novela001,episode_0020,16,0,0,0,0,0,0,6,10,0,0,0,0,0,0.0,0.375,0.625,1,0.0625
novela001__episode_0021,novela001,episode_0021,29,0,2,2,0,0,0,9,13,1,1,1,0,0,0.1379,0.3103,0.4483,1,0.0345
novela001__episode_0022,novela001,episode_0022,24,0,17,4,0,1,0,0,0,0,1,0,0,1,0.9167,0.0,0.0,0,0.0
novela001__episode_0023,novela001,episode_0023,138,0,0,0,0,0,0,91,47,0,0,0,0,0,0.0,0.6594,0.3406,2,0.0145
novela001__episode_0024,novela001,episode_0024,31,8,18,4,0,0,0,1,0,0,0,0,0,0,0.9677,0.0323,0.0,0,0.0
novela001__episode_0025,novela001,episode_0025,20,1,3,15,0,0,0,0,0,1,0,0,0,0,0.95,0.0,0.0,0,0.0
novela001__episode_0026,novela001,episode_0026,23,1,12,8,1,0,0,0,0,1,0,0,0,0,0.9565,0.0,0.0,1,0.0435
